し	市	City	vocabulary	し, 市: し: on	noun, suffix
しりつ	市立	Municipal	vocabulary	しりつ, 市: し: on, 立: りつ: on	noun, の adjective
しあとるし	シアトル市	Seattle	vocabulary	しあとるし, 市: し: on, &emsp;シアトルし, 市: し: on	proper noun
ひろい	広い	Wide	vocabulary	ひろい, 広: ひろ: kun	い adjective
はは	母	Mother	vocabulary	はは, 母: はは: kun	noun
おかあさん	お母さん	Mother	vocabulary	おかあさん, 母: かあ: kun	noun
うち	内	Inside	vocabulary	うち, 内: うち: kun	noun, の adjective
だい	〜台	Big Machine	vocabulary	だい, 台: だい: on	counter, suffix
まん	万	Ten Thousand	vocabulary	まん, 万: まん: on	numeral
おんなのひと	女の人	Woman	vocabulary	おんなのひと, 女: おんな: kun, 人: ひと: kun	noun
みぎて	右手	Right Hand	vocabulary	みぎて, 右: みぎ: kun, 手: て: kun	noun
たりる	足りる	To Be Enough	vocabulary	たりる, 足: た: kun	intransitive verb, ichidan verb
まず	先ず	First Of All	vocabulary	まず, 先: まず: kun	adverb
せんせい	先生	Teacher	vocabulary	せんせい, 先: せん: on, 生: せい: on	noun
ねんない	年内	Within A Year	vocabulary	ねんない, 年: ねん: on, 内: ない: on	noun
いちだい	一代	Lifetime	vocabulary	いちだい, 一: いち: on, 代: だい: on	noun
こおり	氷	Ice	vocabulary	こおり, 氷: こおり: kun	noun
ねんじゅう	年中	Year Round	vocabulary	ねんじゅう, 年: ねん: on, 中: じゅう: on	adverb, noun
そうそう	早々	As Soon As	vocabulary	そうそう, 早: そう: on, &emsp;はやばや, 早: はや: kun	noun, suffix
みかた	見方	Way Of Seeing	vocabulary	みかた, 見: み: kun, 方: かた: kun	noun
ほか	他	Other	vocabulary	ほか, 他: ほか: kun	noun, の adjective
だいよう	代用	Substitution	vocabulary	だいよう, 代: だい: on, 用: よう: on	noun, する verb, の adjective
うつる	写る	To Be Photographed	vocabulary	うつる, 写: うつ: kun	intransitive verb, godan verb
いちだ	一打	One Strike	vocabulary	いちだ, 一: いち: on, 打: だ: on	noun
はつか	二十日	Twentieth Day	vocabulary	はつか,  二十: はつ: exception, 日: か: kun	noun
よんせん	四千	Four Thousand	vocabulary	よんせん, 四: よん: kun, 千: せん: on	numeral
いし	石	Stone	vocabulary	いし, 石: いし: kun	noun
さき	先	Previous	vocabulary	さき, 先: さき: kun	noun, prefix, suffix, の adjective
せんせんげつ	先々月	Month Before Last	vocabulary	せんせんげつ, 先: せん: on, 月: げつ: on	noun
せんげつ	先月	Last Month	vocabulary	せんげつ, 先: せん: on, 月: げつ: on	noun
